Trace,Protocol,P5,P50,P95,P99
MSRC,Path ORAM,0.3676692861249903,120.06522829781917,274.4792129452382,285.6908030743333
MSRC,Ring ORAM,0.1699093409999869,64.8930854615558,156.49943394366161,163.7233097940646
MSRC,AtomORAM,0.11706605493763422,65.2700163047952,157.32264293977872,164.58325088518353
AliCloud,Path ORAM,18.214937597159356,181.06821558402913,344.0076200209125,358.5388436241921
AliCloud,Ring ORAM,10.698954230912504,108.22129050009414,205.71786601491195,214.49490622439941
AliCloud,AtomORAM,10.84389388045449,108.9650847239431,207.1724020175021,215.9496623191518
Google,Path ORAM,16.525743004892487,166.47358333695115,317.7707732392928,331.0428808326961
Google,Ring ORAM,9.010759638645656,93.61900098598494,179.52964830142142,186.99628616587646
Google,AtomORAM,9.154699288187647,94.37045247686518,180.93555523588742,188.4536995276609
